"jasparname","mgi_symbol"
"Alx1","Alx1"
"Alx3","Alx3"
"Alx4","Alx4"
"Ar","Ar"
"Arid3a_1","Arid3a"
"Arid3b","Arid3b"
"Arid5a","Arid5a"
"Arntl","Arntl"
"Arx","Arx"
"Ascl2_1","Ascl2"
"Atf1_1","Atf1"
"Atf3","Atf3"
"Atf4","Atf4"
"Atf7","Atf7"
"Atoh1","Atoh1"
"Barhl1","Barhl1"
"Barhl2","Barhl2"
"Barx1","Barx1"
"Batf3","Batf3"
"Bbx_1","Bbx"
"Bcl6","Bcl6"
"Bcl6b","Bcl6b"
"Bhlha15","Bhlha15"
"Bhlhb2_1","Bhlhb2"
"Bhlhe22","Bhlhe22"
"Bhlhe23","Bhlhe23"
"Bhlhe40","Bhlhe40"
"Bhlhe41","Bhlhe41"
"Bsx","Bsx"
"Cdx1","Cdx1"
"Cdx2","Cdx2"
"Cebpa","Cebpa"
"Cebpb","Cebpb"
"Cebpd","Cebpd"
"Cebpe","Cebpe"
"Cebpg","Cebpg"
"Cenpb","Cenpb"
"Clock","Clock"
"Creb1","Creb1"
"Creb3","Creb3"
"Creb3l1","Creb3l1"
"Creb3l2","Creb3l2"
"Creb5","Creb5"
"Crem","Crem"
"Crx","Crx"
"Ctcf","Ctcf"
"Cux1","Cux1"
"Cux2","Cux2"
"Dbp","Dbp"
"Dlx1","Dlx1"
"Dlx2","Dlx2"
"Dlx3","Dlx3"
"Dlx4","Dlx4"
"Dlx6","Dlx6"
"Dmbx1","Dmbx1"
"Dmrt3","Dmrt3"
"Dux","Dux"
"Dux4","Dux4"
"Duxa","Duxa"
"E2f1","E2f1"
"E2f2","E2f2"
"E2f3","E2f3"
"E2f4","E2f4"
"E2f6","E2f6"
"E2f7","E2f7"
"E2f8","E2f8"
"Ebf1","Ebf1"
"Egr1_1","Egr1"
"Egr2","Egr2"
"Egr3","Egr3"
"Egr4","Egr4"
"Ehf_1","Ehf"
"Elf1","Elf1"
"Elf3","Elf3"
"Elf4","Elf4"
"Elf5","Elf5"
"Elk1","Elk1"
"Elk3","Elk3"
"Elk4","Elk4"
"Emx1","Emx1"
"Emx2","Emx2"
"En1","En1"
"En2","En2"
"Eomes_1","Eomes"
"Erf","Erf"
"Erg","Erg"
"Esr1","Esr1"
"Esr2","Esr2"
"Esrra_2","Esrra"
"Esrrb","Esrrb"
"Esrrg","Esrrg"
"Esx1","Esx1"
"Ets1","Ets1"
"Etv1","Etv1"
"Etv2","Etv2"
"Etv3","Etv3"
"Etv4","Etv4"
"Etv5","Etv5"
"Etv6","Etv6"
"Evx1","Evx1"
"Evx2","Evx2"
"Fev","Fev"
"Fezf1","Fezf1"
"Figla","Figla"
"Fli1","Fli1"
"Fos","Fos"
"Fosl1","Fosl1"
"Fosl2","Fosl2"
"Foxa1","Foxa1"
