Ensembl ID	Entrez ID	Type
ENSMUSG00000000708	18519	Chromatin_Remodeling_Factors	
ENSMUSG00000000902	20587	Chromatin_Remodeling_Factors	
ENSMUSG00000002028	214162	Chromatin_Remodeling_Factors	
ENSMUSG00000002052	20926	Chromatin_Remodeling_Factors	
ENSMUSG00000002748	22385	Chromatin_Remodeling_Factors	
ENSMUSG00000003435	20924	Chromatin_Remodeling_Factors	
ENSMUSG00000003778	78656	Chromatin_Remodeling_Factors	
ENSMUSG00000003868	20174	Chromatin_Remodeling_Factors	
ENSMUSG00000004099	13433	Chromatin_Remodeling_Factors	
ENSMUSG00000005609	22083	Chromatin_Remodeling_Factors	
ENSMUSG00000006307	75410	Chromatin_Remodeling_Factors	
ENSMUSG00000006920	14055	Chromatin_Remodeling_Factors	
ENSMUSG00000008855	15184	Chromatin_Remodeling_Factors	
ENSMUSG00000008958	21427	Chromatin_Remodeling_Factors	
ENSMUSG00000009575	12419	Chromatin_Remodeling_Factors	
ENSMUSG00000013787	110147	Chromatin_Remodeling_Factors	
ENSMUSG00000015149	64383	Chromatin_Remodeling_Factors	
ENSMUSG00000017548	52615	Chromatin_Remodeling_Factors	
ENSMUSG00000018474	216848	Chromatin_Remodeling_Factors	
ENSMUSG00000018537	22658	Chromatin_Remodeling_Factors	
ENSMUSG00000019777	15182	Chromatin_Remodeling_Factors	
ENSMUSG00000020184	17246	Chromatin_Remodeling_Factors	
ENSMUSG00000020390	22210	Chromatin_Remodeling_Factors	
ENSMUSG00000020485	20922	Chromatin_Remodeling_Factors	
ENSMUSG00000020918	14534	Chromatin_Remodeling_Factors	
ENSMUSG00000021156	66505	Chromatin_Remodeling_Factors	
ENSMUSG00000021767	54169	Chromatin_Remodeling_Factors	
ENSMUSG00000021963	20220	Chromatin_Remodeling_Factors	
ENSMUSG00000022475	56233	Chromatin_Remodeling_Factors	
ENSMUSG00000022914	93871	Chromatin_Remodeling_Factors	
ENSMUSG00000023018	83797	Chromatin_Remodeling_Factors	
ENSMUSG00000023852	12648	Chromatin_Remodeling_Factors	
ENSMUSG00000024002	57261	Chromatin_Remodeling_Factors	
ENSMUSG00000024193	21652	Chromatin_Remodeling_Factors	
ENSMUSG00000024335	14312	Chromatin_Remodeling_Factors	
ENSMUSG00000024454	15183	Chromatin_Remodeling_Factors	
ENSMUSG00000024560	74322	Chromatin_Remodeling_Factors	
