baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	6270.36054465604	-0.625278493578103	0.281869885929369	-2.21832315118184	0.0265328067479741	0.0621968230660455
ENSMUSG00000000003	0	NA	NA	NA	NA	NA
ENSMUSG00000000028	1085.28170987954	1.03726347560575	0.390838733895788	2.65394236969951	0.0079557413163267	0.0230936739741339
ENSMUSG00000000031	50.5667143302198	5.8260701828248	1.17774879613726	4.94678508857995	7.54491964641073e-07	6.53676816605549e-06
ENSMUSG00000000037	19.7948997592894	1.39576065237857	0.462473064170878	3.01803663934652	0.00254418142540003	0.00883610407258016
ENSMUSG00000000049	1.58886107187952	14.8216798353116	263.121361992922	0.0563302033823855	0.955078758207054	NA
ENSMUSG00000000056	1103.91735624007	0.148161702627148	0.386315027106516	0.383525600173707	0.701330092510174	0.826818993983886
ENSMUSG00000000058	59.6802642348751	-2.94184618241037	0.731939716846521	-4.01924655091129	5.83845498481557e-05	0.000337119715302363
ENSMUSG00000000078	5100.07308929724	-0.692030228219421	0.172334298034113	-4.01562681435844	5.92880081606258e-05	0.000341718089178658
ENSMUSG00000000085	657.049701491856	0.160183123028726	0.191044891233307	0.838458029391154	0.401773510168603	0.544311710125114
ENSMUSG00000000088	2648.52908976017	-1.43310522345443	0.508623648405689	-2.81761421818782	0.00483819029642821	0.0152438422915437
ENSMUSG00000000093	137.958211565059	1.15613290170966	0.805333253260707	1.43559563327182	0.151117438025409	0.254257081359623
ENSMUSG00000000094	1.42102388930743	15.7556729267847	257.866314313023	0.0611001594712326	0.951279442150164	NA
ENSMUSG00000000103	0.0396535815419843	-0.96856415270351	398.333819034364	-0.00243153884109436	0.998059914611452	NA
ENSMUSG00000000120	3.66413157784352	15.1870465547584	284.556716686201	0.0533708946730157	0.957436394836615	0.97693253507212
ENSMUSG00000000125	56.2560147954414	2.83006303608189	1.61897867447518	1.74805454864889	0.0804545822636742	0.153585631764962
ENSMUSG00000000126	105.104840708309	15.2913481451531	273.337731775363	0.0559430564007168	0.955387170468465	0.97676201022267
ENSMUSG00000000127	6.28962616675417	3.41179266318606	1.04044535507238	3.27916564435881	0.00104114504250139	0.00414703643203121
ENSMUSG00000000131	9529.88992765719	0.438745409536946	0.238216620828103	1.84179176084251	0.0655056157028384	0.130249030239418
ENSMUSG00000000134	2130.47302244993	0.355549757707718	0.339024179314484	1.04874454213457	0.294295707901601	0.429097083804774
ENSMUSG00000000142	1382.23856117438	-0.859413712089887	0.269299205586388	-3.19129687077446	0.00141635665904014	0.00539251957658412
ENSMUSG00000000148	1162.29803347496	-0.491586769912708	0.18788468095647	-2.61642815907169	0.00888550602711096	0.0253338505356829
ENSMUSG00000000149	1079.13295847085	0.32317233260321	0.229880789518609	1.40582574681408	0.159775874670435	0.265235709408256
ENSMUSG00000000154	3.58841580949688	16.6854089566413	277.362098150903	0.0601574947257696	0.952030198664119	NA
ENSMUSG00000000157	0.643001291143681	-0.153622565656231	2.15443751072902	-0.0713051851776604	0.943154868561378	NA
ENSMUSG00000000159	7.88419028210961	-5.40595963586378	1.07385859344107	-5.03414478301185	4.7998681086598e-07	4.3411938911908e-06
ENSMUSG00000000167	16.4446259080216	2.27829139489624	1.54213598545705	1.47736089189373	0.139578923480274	0.238662161394964
ENSMUSG00000000168	1127.56475080456	0.378588233015331	0.24234879640138	1.56216262938773	0.118249681824467	0.208906316469189
ENSMUSG00000000171	2469.01931158445	-0.683773799762329	0.264129629455736	-2.58878112679486	0.00963162921386427	0.027056456067761
ENSMUSG00000000182	1.54361044714825	-0.0133708525815306	1.30670642692204	-0.0102324839811386	0.991835801483373	NA
ENSMUSG00000000183	0.48107582593124	15.3792693375681	271.685847060497	0.0566068107851917	0.954858409024729	NA
ENSMUSG00000000184	11413.0212540035	-0.705458149878901	0.24118621591305	-2.9249521877039	0.00344509150464653	0.0114241716382867
ENSMUSG00000000194	2228.48863583314	-0.551965504288161	0.293600280083311	-1.8799897061799	0.0601094808511949	0.121391860548236
ENSMUSG00000000197	0.729124489120919	16.2247030568374	260.567081906581	0.062266894721008	0.950350291485842	NA
ENSMUSG00000000202	3.24753110421327	-1.29778031583294	2.87749784336252	-0.451010004690886	0.651982338327629	NA
ENSMUSG00000000204	12.2774430477831	1.89835186877846	0.82943420995455	2.28873109644523	0.02209498108167	0.0536256309761358
ENSMUSG00000000214	0.601207011033442	-0.973821356692202	388.446585289494	-0.00250696336013985	0.997999734735679	NA
ENSMUSG00000000215	0.0528004159126405	-0.97060089204233	394.44596380652	-0.00246066883959401	0.998036672304929	NA
ENSMUSG00000000216	1.76795772224435	-0.979402883392289	376.878325855028	-0.00259872435266822	0.997926520295053	NA
ENSMUSG00000000223	36.3933783217671	3.06995446998683	1.06111142126752	2.8931499637613	0.00381399147024213	0.012476763143811
ENSMUSG00000000244	5139.41215481661	1.12850808086853	0.327313825697145	3.44778616810618	0.000565201311043407	0.00245506113941654
ENSMUSG00000000247	65.7641895851574	0.771671571686405	0.337745393000965	2.28477304998858	0.0223261386863743	0.0540838281158917
ENSMUSG00000000248	26.0844696793286	7.41132102715851	1.23397437138527	6.00605749926437	1.90088802178572e-09	2.53809644024625e-08
ENSMUSG00000000253	14.6168111774139	2.91455949072551	1.20832879893437	2.41205828520835	0.0158627454599168	0.0407902212357005
ENSMUSG00000000263	2.61248923769387	16.5648214722914	253.730090739177	0.065285206906418	0.947946920394638	NA
ENSMUSG00000000266	40.396807620131	2.40863938193267	0.430943060767887	5.58922883603411	2.28080224408159e-08	2.58711614735961e-07
ENSMUSG00000000275	4137.44289299666	-1.6829735839893	0.184928862735888	-9.10065394385133	8.97895469538417e-20	3.66567261306014e-18
ENSMUSG00000000276	1360.22898460092	0.302581950633181	0.17547078864109	1.72440069926446	0.0846355314283168	0.160035208399959
ENSMUSG00000000278	1318.68997499662	-1.07131613411894	0.498205982941374	-2.15034778947045	0.0315277148894616	0.0717960462640963
ENSMUSG00000000282	3809.07246200879	-0.673264214193415	0.307455935887701	-2.18979091182461	0.028539404149557	0.066043506315152
ENSMUSG00000000290	15508.0731506829	-1.57290335201216	0.13812737963478	-11.3873393976707	4.8352919944634e-30	3.92293795838944e-28
ENSMUSG00000000295	425.735309323582	-0.618459481331575	0.260752316168915	-2.3718273740316	0.0177003583506057	0.0447404305398083
ENSMUSG00000000296	0.828371629906978	-0.970612903224016	394.891313812431	-0.00245792416615435	0.998038862230868	NA
ENSMUSG00000000301	32.5672305083679	0.398467308978203	0.408154626361084	0.976265570062874	0.328932877135453	0.467285784130621
ENSMUSG00000000303	43.3885628126452	-2.83721401614766	0.692845239950082	-4.09501841472142	4.2213483404902e-05	0.000252660696078042
ENSMUSG00000000305	2.75891933029454	16.4401300204957	258.31025668988	0.0636448983140195	0.949252980502825	NA
