ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000000001	Gnai3	HE	HE	HE	HE	HE	HE
ENSMUSG00000000003	Pbsn	NE	NE	NE	NE	NE	NE
ENSMUSG00000000028	Cdc45	HE	UND	HE	HE	HE	HE
ENSMUSG00000000031	H19	LE	UND	LE	LE	HE	NE
ENSMUSG00000000037	Scml2	LE	UND	LE	LE	UND	LE
ENSMUSG00000000049	Apoh	NE	LE	UND	NE	LE	LE
ENSMUSG00000000056	Narf	HE	HE	HE	HE	HE	HE
ENSMUSG00000000058	Cav2	UND	NE	UND	UND	UND	UND
ENSMUSG00000000078	Klf6	HE	HE	HE	HE	HE	HE
ENSMUSG00000000085	Scmh1	HE	HE	HE	HE	HE	HE
ENSMUSG00000000088	Cox5a	HE	HE	HE	HE	HE	HE
ENSMUSG00000000093	Tbx2	HE	UND	UND	LE	LE	UND
ENSMUSG00000000094	Tbx4	NE	LE	LE	NE	LE	NE
ENSMUSG00000000103	Zfy2	NE	LE	NE	NE	NE	NE
ENSMUSG00000000120	Ngfr	UND	LE	LE	NE	LE	LE
ENSMUSG00000000125	Wnt3	UND	UND	UND	LE	LE	LE
ENSMUSG00000000126	Wnt9a	NE	LE	NE	NE	LE	HE
ENSMUSG00000000127	Fer	NE	LE	LE	LE	UND	LE
ENSMUSG00000000131	Xpo6	HE	HE	HE	HE	HE	HE
ENSMUSG00000000134	Tfe3	HE	HE	HE	HE	HE	HE
ENSMUSG00000000142	Axin2	HE	HE	HE	HE	HE	HE
ENSMUSG00000000148	Brat1	HE	HE	HE	HE	HE	HE
ENSMUSG00000000149	Gna12	HE	HE	HE	HE	HE	HE
ENSMUSG00000000154	Slc22a18	LE	LE	UND	NE	LE	UND
ENSMUSG00000000157	Itgb2l	NE	LE	NE	LE	LE	LE
ENSMUSG00000000159	Igsf5	NE	LE	LE	UND	LE	UND
ENSMUSG00000000167	Pih1d2	UND	UND	LE	LE	UND	LE
ENSMUSG00000000168	Dlat	HE	HE	HE	HE	HE	HE
ENSMUSG00000000171	Sdhd	HE	HE	HE	HE	HE	HE
ENSMUSG00000000182	Fgf23	NE	NE	LE	LE	UND	NE
ENSMUSG00000000183	Fgf6	NE	LE	LE	NE	LE	NE
ENSMUSG00000000184	Ccnd2	HE	HE	HE	HE	HE	HE
ENSMUSG00000000194	Gpr107	HE	HE	HE	HE	HE	HE
ENSMUSG00000000197	Nalcn	NE	LE	NE	NE	LE	NE
ENSMUSG00000000202	Btbd17	LE	LE	LE	LE	LE	LE
ENSMUSG00000000204	Slfn4	LE	UND	UND	LE	UND	LE
ENSMUSG00000000214	Th	LE	LE	LE	NE	NE	NE
ENSMUSG00000000215	Ins2	NE	LE	NE	NE	NE	NE
ENSMUSG00000000216	Scnn1g	LE	LE	LE	NE	NE	NE
ENSMUSG00000000223	Drp2	LE	LE	LE	LE	UND	LE
ENSMUSG00000000244	Tspan32	HE	HE	HE	HE	HE	HE
ENSMUSG00000000247	Lhx2	UND	LE	LE	UND	UND	UND
ENSMUSG00000000248	Clec2g	NE	UND	LE	LE	HE	LE
ENSMUSG00000000253	Gmpr	UND	UND	UND	LE	UND	LE
ENSMUSG00000000263	Glra1	NE	UND	LE	NE	LE	NE
ENSMUSG00000000266	Mid2	LE	LE	UND	LE	UND	LE
ENSMUSG00000000275	Trim25	HE	HE	HE	HE	HE	HE
ENSMUSG00000000276	Dgke	UND	HE	HE	HE	HE	HE
ENSMUSG00000000278	Scpep1	HE	UND	UND	HE	HE	HE
ENSMUSG00000000282	Mnt	HE	HE	HE	HE	HE	HE
ENSMUSG00000000290	Itgb2	HE	HE	HE	HE	HE	HE
ENSMUSG00000000295	Hddc2	HE	HE	UND	HE	HE	HE
ENSMUSG00000000296	Tpd52l1	NE	LE	LE	NE	NE	NE
ENSMUSG00000000301	Pemt	UND	UND	UND	UND	UND	UND
ENSMUSG00000000303	Cdh1	UND	LE	UND	UND	LE	UND
ENSMUSG00000000305	Cdh4	LE	LE	LE	NE	LE	NE
ENSMUSG00000000308	Ckmt1	LE	UND	UND	UND	UND	UND
ENSMUSG00000000317	Bcl6b	LE	UND	LE	LE	LE	LE
ENSMUSG00000000318	Clec10a	NE	LE	LE	NE	LE	NE
ENSMUSG00000000320	Alox12	LE	UND	UND	LE	UND	LE
ENSMUSG00000000325	Arvcf	UND	UND	UND	UND	UND	UND
ENSMUSG00000000326	Comt	HE	HE	HE	HE	HE	HE
ENSMUSG00000000339	Rtca	HE	HE	HE	HE	HE	HE
ENSMUSG00000000340	Dbt	HE	HE	UND	HE	HE	HE
ENSMUSG00000000346	Dazap2	HE	HE	HE	HE	HE	HE
