Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000000001	Gnai3	4775.6692835453	3372.4707430656	3361.21469170049	11103.8242463153	7199.92350398471	7809.06079932491
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1656.42213322894	94.0625989733052	493.707672806097	1269.99507639299	2607.03753215674	390.465245719144
ENSMUSG00000000031	H19	5.12405444718312	10.297998808835	3.10228485597735	4.88354427429639	279.992403595027	0
ENSMUSG00000000037	Scml2	3.44956021252765	28.0593940847638	16.8568456719377	16.7811808340763	44.263550007167	9.35886774526376
ENSMUSG00000000049	Apoh	0	2.53697690496693	6.10170919398583	0	0.503735972739914	0.390744359584435
ENSMUSG00000000056	Narf	910.597997361115	980.399279365588	1062.97559567244	1167.98026527816	1294.62471298869	1206.92628677442
ENSMUSG00000000058	Cav2	65.4410722948086	0	15.2371295653031	191.479158441574	24.8772156987959	61.0470094087694
ENSMUSG00000000078	Klf6	2100.32533436485	4651.21193147082	8086.00709747986	7352.34107692716	4554.24745110884	3856.30564443193
ENSMUSG00000000085	Scmh1	668.189186344295	1213.56847297697	702.982987885732	471.336544753519	526.819511784461	359.401505206164
ENSMUSG00000000088	Cox5a	8688.77968168718	934.336090725773	952.081938161684	2625.85018602591	971.43281714408	1718.69382481639
ENSMUSG00000000093	Tbx2	388.994955120797	319.286929125672	93.3167882130369	2.90101358199548	5.85897571825264	17.3906076305985
ENSMUSG00000000094	Tbx4	0	4.91235638574571	3.10228485597735	0	0.511502094121518	0
ENSMUSG00000000103	Zfy2	0	0.237921489251906	0	0	0	0
ENSMUSG00000000120	Ngfr	16.481232126521	0.237921489251906	4.61914044464307	0	0.255751047060759	0.390744359584435
ENSMUSG00000000125	Wnt3	77.9698854927185	13.7090591351658	241.335003477553	0.459241444847286	2.79772927490514	1.26516994745874
ENSMUSG00000000126	Wnt9a	0	0.713764467755718	0	0	0.255751047060759	629.659528735039
ENSMUSG00000000127	Fer	0	1.74433143098728	10.6865627993059	1.77423047300204	18.6268472885705	4.90578500865925
ENSMUSG00000000131	Xpo6	7700.98625183592	16890.6407968517	13495.7214160548	5293.37117564017	7175.86916445044	6622.75076111015
ENSMUSG00000000134	Tfe3	1854.03255055898	3784.90501847626	1906.70933709172	1652.24859047003	2114.07045116918	1470.87218693341
ENSMUSG00000000142	Axin2	518.849600163851	3603.95927056661	1204.27493863516	594.777401781042	326.76378072162	2044.80637517801
ENSMUSG00000000148	Brat1	1404.20983480802	1019.04969394474	1269.83436268256	1059.6566397363	753.039510861315	1467.99815881683
ENSMUSG00000000149	Gna12	2422.93050727309	958.289711113797	1313.83140941232	596.406067341132	745.441023081884	437.899032602894
ENSMUSG00000000154	Slc22a18	1.96354112776679	0.475842978503812	9.16970721064023	0	1.01523806686143	8.90616547320904
ENSMUSG00000000157	Itgb2l	0	0.316802495475843	0	1.31498902815475	1.02300418824304	1.20321203498845
ENSMUSG00000000159	Igsf5	0	0.316802495475843	4.58485360532011	24.6912093031424	0.383626570591138	17.3286497181282
ENSMUSG00000000167	Pih1d2	60.7220844300802	4.0446653172824	4.65342728396603	4.15326730376313	20.2814629730838	4.81284813995381
ENSMUSG00000000168	Dlat	1462.827796697	578.28371021575	809.574321164208	1272.69024216166	1655.46391906485	986.548515523906
ENSMUSG00000000171	Sdhd	3304.58936487214	1188.17914269886	1380.59910749448	3493.510120329	2175.60177722314	3271.63635688911
ENSMUSG00000000182	Fgf23	0	0	1.51685558866572	3.81949647169005	3.92531062253374	0
ENSMUSG00000000183	Fgf6	0	0.951685957007624	1.55114242798868	0	0.383626570591138	0
ENSMUSG00000000184	Ccnd2	14921.543397617	5650.9637792821	6126.04731165768	15431.1426325185	9464.45993624376	16883.9704667018
ENSMUSG00000000194	Gpr107	1971.45940890965	2537.29715241873	2487.6841932786	2618.02148486208	1786.25153985673	1970.21803567305
ENSMUSG00000000197	Nalcn	0	3.48738439139446	0	0	0.887362543331052	0
ENSMUSG00000000202	Btbd17	6.32102663883266	4.91235638574571	6.10170919398583	0.459241444847286	0.12787552353038	1.56297743833774
ENSMUSG00000000204	Slfn4	6.65719231941763	13.3973705220103	22.9242680266006	3.94496708446426	14.348974580972	12.3918857532338
ENSMUSG00000000214	Th	1.58025665970817	0.475842978503812	1.55114242798868	0	0	0
ENSMUSG00000000215	Ins2	0	0.316802495475843	0	0	0	0
ENSMUSG00000000216	Scnn1g	7.90128329854083	1.18960744625953	1.51685558866572	0	0	0
ENSMUSG00000000223	Drp2	26.4339599595065	12.3616896764584	9.23828088928614	16.2165630765923	136.607234944692	17.5025413840666
ENSMUSG00000000244	Tspan32	4616.80304327963	2876.15322164923	13858.8478991258	909.614587643614	1989.29756035342	6585.75661684802
ENSMUSG00000000247	Lhx2	209.693834088592	6.18084483822918	7.72142530062042	32.2047316337483	53.9898559168575	84.7944457328967
ENSMUSG00000000248	Clec2g	0	8.32469518265652	1.51685558866572	0.793012276920363	143.434852001517	2.43740302621205
ENSMUSG00000000253	Gmpr	25.8685345098227	24.169933838769	27.5776953105666	0.855747583307468	5.97908512040142	3.24987070161607
ENSMUSG00000000263	Glra1	0	8.32725212381671	6.2045697119547	0	1.14311359039181	0
ENSMUSG00000000266	Mid2	4.69365119165084	2.4568174281629	63.0139632790454	26.4855340762819	142.059285728209	3.67159401743565
ENSMUSG00000000275	Trim25	642.050607446169	10193.3027856296	3277.65872162504	5035.45445477424	1569.73454832542	4106.45624017953
ENSMUSG00000000276	Dgke	272.593271469411	2938.65203785909	2111.117269193	747.205847922408	924.628152569532	1167.17732859209
ENSMUSG00000000278	Scpep1	1555.80989307579	168.153856025831	266.641532734349	3453.89819278197	1643.83916108492	823.797214276857
ENSMUSG00000000282	Mnt	1995.82014222031	11634.1960907793	3405.2803121089	2031.8069387784	1273.20385313494	2514.12743503091
ENSMUSG00000000290	Itgb2	19648.2845118354	10184.8816887366	16043.787720643	22325.2740332152	7505.66163338258	17340.5493162849
ENSMUSG00000000295	Hddc2	516.770039346741	270.310899516022	358.201457483459	495.337190634061	323.283163723665	590.509105237544
ENSMUSG00000000296	Tpd52l1	0	0.316802495475843	4.65342728396603	0	0	0
ENSMUSG00000000301	Pemt	13.5563127444729	55.3108010485867	41.3665429658499	28.6989116939937	37.331355790957	19.1394588063471
ENSMUSG00000000303	Cdh1	59.1544961069108	8.47862178336411	30.7828406845128	32.7468026851202	5.55662794290226	123.611987673061
ENSMUSG00000000305	Cdh4	6.32102663883266	4.59811083143006	4.61914044464307	0	1.01523806686143	0
