Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000000001	Gnai3	1464.03104952339	1033.86595434261	1030.41529481928	3403.99271806108	2207.21137461211	2393.94874289544
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	772.94546580912	43.8929533239875	230.381555205831	592.624860659349	1216.53641257898	182.204967671089
ENSMUSG00000000031	H19	2.24149363393837	4.50481137744315	1.3570799894914	2.1362835845566	122.481366402024	0
ENSMUSG00000000037	Scml2	0.711689748819403	5.78902291825124	3.47778949286934	3.46217883929777	9.13215391111348	1.93085779766118
ENSMUSG00000000049	Apoh	0	2.13191336551843	5.12748671763515	0	0.423307540117575	0.328356604692803
ENSMUSG00000000056	Narf	207.189532960436	223.071508388075	241.860203793502	265.752051257829	294.5676252534	274.613489596
ENSMUSG00000000058	Cav2	23.9447758122241	0	5.57523950431874	70.0618947828664	9.10253044229633	22.3369957587886
ENSMUSG00000000078	Klf6	498.061497359461	1102.96702192811	1917.47856236183	1743.50037394526	1079.97331067319	914.466598157917
ENSMUSG00000000085	Scmh1	188.540966801438	342.429027363704	198.358630893265	132.995639038803	148.651103776654	101.411259934019
ENSMUSG00000000088	Cox5a	12592.4343212858	1354.11027641416	1379.8288958865	3805.57997974769	1407.8736480349	2490.86061567593
ENSMUSG00000000093	Tbx2	107.279358830887	88.0548618658775	25.7354628276439	0.800058902922085	1.61582341926438	4.79608594335314
ENSMUSG00000000094	Tbx4	0	1.55799441349372	0.98391527306608	0	0.16222711516699	0
ENSMUSG00000000103	Zfy2	0	0.0844891652172962	0	0	0	0
ENSMUSG00000000120	Ngfr	4.78271390787028	0.0690428001311393	1.34043541632126	0	0.0742167867268598	0.1133907021429
ENSMUSG00000000125	Wnt3	25.3478171302726	4.45678125330486	78.4574133542109	0.149298259053084	0.909534874806613	0.411303624011295
ENSMUSG00000000126	Wnt9a	0	0.214989297516783	0	0	0.0770334479098672	189.656484558747
ENSMUSG00000000127	Fer	0	0.579897417216516	3.55271369657777	0.589837258311849	6.1924359337003	1.6309125693681
ENSMUSG00000000131	Xpo6	1531.62017737389	3359.3159898273	2684.11324901646	1052.77867455055	1427.18161584138	1317.17397794553
ENSMUSG00000000134	Tfe3	292.988709001103	598.120262085376	301.313106367213	261.10123111094	334.081929704359	232.438714749274
ENSMUSG00000000142	Axin2	121.795680789636	845.999828771504	282.693647566938	139.619108399306	76.7051128454506	480.001496520658
ENSMUSG00000000148	Brat1	364.351280437991	264.413516851255	329.484785335381	274.949828680928	195.391673809371	380.9024802327
ENSMUSG00000000149	Gna12	709.288790185332	280.529774916217	384.611068329133	174.591940088153	218.220440012261	128.190583314665
ENSMUSG00000000154	Slc22a18	1.26516825242706	0.306599857283384	5.90831650170118	0	0.654148238957108	5.73850868119139
ENSMUSG00000000157	Itgb2l	0	0.112901815921541	0	0.468634721366627	0.364577401369578	0.428799727365806
ENSMUSG00000000159	Igsf5	0	0.171152077512611	2.47696034863323	13.3393891427025	0.207253684814229	9.36177726533128
ENSMUSG00000000167	Pih1d2	40.6711884997188	2.70908594593597	3.11683006293773	2.78182672723585	13.5843690375645	3.2236089349992
ENSMUSG00000000168	Dlat	362.534769937299	143.316904638352	200.637997810213	315.412699420485	410.276064204424	244.497773364041
ENSMUSG00000000171	Sdhd	2567.66850417416	923.216117093128	1072.72657924979	2714.46007795571	1690.44427134665	2542.06399136683
ENSMUSG00000000182	Fgf23	0	0	0.836193819551113	2.10556586090962	2.16389780735046	0
ENSMUSG00000000183	Fgf6	0	0.772472367700994	1.25904417856224	0	0.311385203401898	0
ENSMUSG00000000184	Ccnd2	2617.35544599492	991.223255443273	1074.55662369017	2706.74313848772	1660.14031507521	2961.58050635009
ENSMUSG00000000194	Gpr107	321.398664641286	413.644791721345	405.556601447441	426.804937212598	291.205011388446	321.196288828342
ENSMUSG00000000197	Nalcn	0	0.490145381784183	0	0	0.124717152962903	0
ENSMUSG00000000202	Btbd17	2.09305517842141	1.62660807475023	2.02043350794233	0.152066703591817	0.0423428885862184	0.51754219812508
ENSMUSG00000000204	Slfn4	1.67983656810942	3.38061330356051	5.78457431910183	0.995449680662191	3.62073544813829	3.12689521908499
ENSMUSG00000000214	Th	0.791711753360804	0.238398285823553	0.777125464924186	0	0	0
ENSMUSG00000000215	Ins2	0	0.543400506819628	0	0	0	0
ENSMUSG00000000216	Scnn1g	2.64168615798757	0.397729002427125	0.50713994940345	0	0	0
ENSMUSG00000000223	Drp2	3.70482970700862	1.73254235129059	1.29478358644515	2.27281893154763	19.1460735731874	2.453054153338
ENSMUSG00000000244	Tspan32	2460.98243245183	1533.13071516483	7387.44557522696	484.869183178899	1060.39315583871	3510.5312456546
ENSMUSG00000000247	Lhx2	73.8358570734479	2.17635381627788	2.71881172557057	11.3396942372353	19.0105126467808	29.8571992017242
ENSMUSG00000000248	Clec2g	0	3.37990060197179	0.615856917850475	0.321970067771158	58.2358311009001	0.989607400004892
ENSMUSG00000000253	Gmpr	16.3724901960903	15.2974264802336	17.4542375383333	0.541612394498397	3.78423108886166	2.05688019089624
ENSMUSG00000000263	Glra1	0	3.48420590954674	2.59605427278439	0	0.478290205184858	0
ENSMUSG00000000266	Mid2	0.748469333702893	0.391774426433249	10.0484712612096	4.22349451064933	22.6533703919963	0.58548780376904
ENSMUSG00000000275	Trim25	114.856995965325	1823.48887041674	586.343241793388	900.796861319183	280.811189324762	734.607556382743
ENSMUSG00000000276	Dgke	32.6576340564767	352.060864724942	252.919284676291	89.5178924071412	110.773709424887	139.83195502481
ENSMUSG00000000278	Scpep1	741.921742048543	80.1878188010641	127.153806740271	1647.06637710156	783.90041062705	392.845595744806
ENSMUSG00000000282	Mnt	434.819203098107	2534.68324417849	741.891135535707	442.659463786144	277.386460377983	547.740181923946
ENSMUSG00000000290	Itgb2	6615.58401071899	3429.25309385072	5401.94872748923	7516.92728391085	2527.15879911871	5838.5687933619
ENSMUSG00000000295	Hddc2	185.821661038023	97.1991727853369	128.803113082869	178.114775488695	116.247092313436	212.336967003792
ENSMUSG00000000296	Tpd52l1	0	0.250041432893325	3.67279185790531	0	0	0
ENSMUSG00000000301	Pemt	13.5157654481285	55.1453649537256	41.242814522283	28.613072476564	37.2196967008545	19.0822121698376
ENSMUSG00000000303	Cdh1	13.3531593920792	1.91391010911154	6.94872250214736	7.39205478219417	1.25431782006823	27.9033832219099
ENSMUSG00000000305	Cdh4	0.989515754357023	0.719804450756114	0.723096500413756	0	0.158928939709053	0
ENSMUSG00000000308	Ckmt1	2.18752949844133	14.1390622210036	6.59664370327528	16.7874794732578	13.0122102467855	18.2769146406752
ENSMUSG00000000317	Bcl6b	0.797085940704216	3.79006927455678	3.63568188570844	0.607625073882357	0.641221526219026	0.241374829294123
ENSMUSG00000000318	Clec10a	0	0.135850126704907	2.64591889907022	0	0.216010279905623	0
ENSMUSG00000000320	Alox12	0.894032414665242	3.72363851094935	8.72975244225015	0.153029471791832	2.62117743679797	0.79155118751808
ENSMUSG00000000325	Arvcf	88.4603155745825	34.6988545628106	30.0622431876511	7.13541617342422	18.0557246981264	5.87906582197803
ENSMUSG00000000326	Comt	1641.51190311463	108.657761816457	556.726778029823	378.520701557974	758.017729245745	301.446099308873
ENSMUSG00000000339	Rtca	802.656007103424	268.485273977947	248.960395750241	439.13053427067	272.640339451841	254.74275159101
ENSMUSG00000000340	Dbt	164.926326608391	146.838008455969	129.467845579352	209.750066320941	155.886709153944	204.279375178915
ENSMUSG00000000346	Dazap2	4195.07739168435	6252.82091052337	5576.37037012795	9605.51046764846	4999.927058015	8719.92113444299
ENSMUSG00000000355	Mcts1	1430.85917881491	760.139758351893	868.540171797684	1565.30828494204	2050.64240227772	1851.10529894604
ENSMUSG00000000359	Rem1	0	0.524068839569207	0	0	0	0.234963535528824
ENSMUSG00000000365	Rnf17	3.94601336579395	0.938903531375636	4.4663639676081	0.83114567143305	1.33230022190188	0.777074682313479
ENSMUSG00000000374	Trappc10	493.851248902071	1262.18167362066	768.070767584572	635.65399655871	982.655467210131	1044.84496176316
ENSMUSG00000000378	Ccm2	2809.94488293635	6338.87081269465	4275.31491686071	1494.44054680283	983.640502970646	2418.61521806887
ENSMUSG00000000381	Wap	0.847037498472104	3.85063806655721	10.2459311918333	0	0.839212176575329	0.431761723297718
ENSMUSG00000000384	Tbrg4	922.319185120471	2504.01880324159	1419.1913633483	768.127020212426	1052.24396873162	1180.11498505462
