baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000001	6270.36054465604	-0.00497632167557279	0.283549321726488	-0.017550109607996	0.985997757303676	0.992946881559643
ENSMUSG00000000003	0	NA	NA	NA	NA	NA
ENSMUSG00000000028	1085.28170987954	2.39485931138622	0.405473404477605	5.90632896002551	3.49815121528369e-09	4.4593276510677e-08
ENSMUSG00000000031	50.5667143302198	-1.72839173408298	1.51571329897373	-1.14031574127723	0.254154782063648	0.388316210328782
ENSMUSG00000000037	19.7948997592894	-0.742569276481402	0.596877659127177	-1.24408958037946	0.213466595461393	0.339782600656687
ENSMUSG00000000049	1.58886107187952	1.25297379900405	1.80575643915586	0.693877519600474	0.487759022708762	NA
ENSMUSG00000000056	1103.91735624007	0.116399137721783	0.389310206499126	0.298988148213485	0.764949088531566	0.879457199358346
ENSMUSG00000000058	59.6802642348751	18.3730297881907	104.237868117182	0.176260605862892	0.860089209411128	0.949281075201457
ENSMUSG00000000078	5100.07308929724	0.797784741254726	0.173069306632612	4.60962580123031	4.03394378680371e-06	2.84381154955562e-05
ENSMUSG00000000085	657.049701491856	-0.787593125519396	0.195993190724354	-4.01847187960255	5.85767982760211e-05	0.000311275354989654
ENSMUSG00000000088	2648.52908976017	0.0276357471841719	0.511522629265199	0.0540264410664892	0.956914098076434	0.975928115419312
ENSMUSG00000000093	137.958211565059	-1.77351250724744	0.547510092955287	-3.23923253665441	0.00119851815997383	0.00448291213303749
ENSMUSG00000000094	1.42102388930743	-0.663307939058136	2.04278147847507	-0.3247082206528	0.745401912344162	NA
ENSMUSG00000000103	0.0396535815419843	-13.0156582064533	299.773594397559	-0.0434182945052592	0.965368094545835	NA
ENSMUSG00000000120	3.66413157784352	4.16286175035687	2.47750100814739	1.68026642034336	0.0929054913756547	0.175516669301397
ENSMUSG00000000125	56.2560147954414	4.14523052907268	0.65789414218453	6.30075609931484	2.96197169641745e-10	4.59585673187237e-09
ENSMUSG00000000126	105.104840708309	-14.6053551136245	286.03716264974	-0.0510610403848439	0.959276880742144	0.976472751589229
ENSMUSG00000000127	6.28962616675417	2.5495662908464	1.06977007237426	2.38328436800243	0.017158933766742	0.0437402768120534
ENSMUSG00000000131	9529.88992765719	-0.323750404744009	0.238239730622449	-1.3589270097735	0.174169719001852	0.290181550556045
ENSMUSG00000000134	2130.47302244993	-0.989170553868065	0.340463088514359	-2.90536797449732	0.00366821566560042	0.0117607711569409
ENSMUSG00000000142	1382.23856117438	-1.58142523727784	0.268087232438975	-5.8989203733819	3.6588774613505e-09	4.65256128720212e-08
ENSMUSG00000000148	1162.29803347496	0.317952305030841	0.191532149920626	1.66004665620161	0.0969050669411387	0.181440992292119
ENSMUSG00000000149	1079.13295847085	0.455664520092436	0.23133210309877	1.96974182998667	0.0488679663255049	0.104266760940112
ENSMUSG00000000154	3.58841580949688	4.12285814342146	1.45482649239247	2.83391742244217	0.00459812121681151	NA
ENSMUSG00000000157	0.643001291143681	-13.2820098734911	297.288749914697	-0.0446771358731275	0.96436465842641	NA
ENSMUSG00000000159	7.88419028210961	4.0630490643261	1.75775772199017	2.31149549991783	0.0208055014403255	0.051342046150008
ENSMUSG00000000167	16.4446259080216	0.172250354781636	1.7209995053149	0.100087393546414	0.920274943567443	0.974746522588472
ENSMUSG00000000168	1127.56475080456	0.48460565746472	0.25015708746108	1.93720538715545	0.0527202420074005	0.110732171315895
ENSMUSG00000000171	2469.01931158445	0.217076160943799	0.268340714414687	0.808957229682019	0.418539748323792	0.569808060377962
ENSMUSG00000000182	1.54361044714825	16.0024101004999	138.490534138829	0.11554876439756	0.908010170886331	NA
ENSMUSG00000000183	0.48107582593124	0.680834359304057	3.70746603075606	0.18363873159081	0.85429687638566	NA
ENSMUSG00000000184	11413.0212540035	0.116364510805916	0.242212727940812	0.480422774621289	0.630926803281854	0.767445238703873
ENSMUSG00000000194	2228.48863583314	-0.0285282808429424	0.294966061163326	-0.0967171637659899	0.922951009018716	0.974746522588472
ENSMUSG00000000197	0.729124489120919	-16.5420893942318	271.631335673485	-0.0608990466921542	0.951439608668003	NA
ENSMUSG00000000202	3.24753110421327	0.320107501670013	2.03070298127194	0.157633836470517	0.874745339253042	NA
ENSMUSG00000000204	12.2774430477831	0.763639987550373	0.773605984698056	0.987117476667954	0.323585051075953	0.467607477572145
ENSMUSG00000000214	0.601207011033442	1.66456882029793	3.76510682151555	0.44210400905117	0.658413943458474	NA
ENSMUSG00000000215	0.0528004159126405	-13.3738719213761	296.512483149395	-0.0451039085414755	0.964024486029404	NA
ENSMUSG00000000216	1.76795772224435	0.337536294104079	3.51967487156683	0.0958998505318817	0.923600113292618	NA
ENSMUSG00000000223	36.3933783217671	-0.418543655599766	1.20799040355152	-0.346479288551662	0.72898254676473	0.851606395540225
ENSMUSG00000000244	5139.41215481661	2.26852244867141	0.325970149129081	6.95929506039862	3.41979598786201e-12	7.16398619032755e-11
ENSMUSG00000000247	65.7641895851574	0.34629994301382	0.765447587511723	0.45241496434727	0.650970068578761	0.784647397109068
ENSMUSG00000000248	26.0844696793286	-2.4669726508774	1.61710478160491	-1.52554904230079	0.127122211040968	0.225433821876578
ENSMUSG00000000253	14.6168111774139	0.194941053473826	0.685923992420569	0.284202120975379	0.776255490153503	0.888304113999814
ENSMUSG00000000263	2.61248923769387	-0.43117487176634	2.5861696884787	-0.16672334908541	0.86758773275942	NA
ENSMUSG00000000266	40.396807620131	4.6845547583812	0.656179337430899	7.13913787154952	9.39180972600565e-13	2.12810628193882e-11
ENSMUSG00000000275	4137.44289299666	-1.63692019576986	0.186110377833946	-8.7954267506263	1.42505329951603e-18	6.06344345018519e-17
ENSMUSG00000000276	1360.22898460092	-0.477393558757695	0.174946177564944	-2.72880245457478	0.00635647695414221	0.0189045455484562
ENSMUSG00000000278	1318.68997499662	0.666353345800278	0.512794978094921	1.29945372763953	0.193788263508529	0.315569304422334
ENSMUSG00000000282	3809.07246200879	-1.77249317248296	0.307512956920459	-5.7639625667592	8.21616457887686e-09	9.81990656627686e-08
ENSMUSG00000000290	15508.0731506829	0.655638958136282	0.138591700250739	4.73072310210571	2.23721504877748e-06	1.67458782403997e-05
ENSMUSG00000000295	425.735309323582	0.408466363789979	0.274304276373486	1.4890995109162	0.136461166586159	0.237983601113506
ENSMUSG00000000296	0.828371629906978	3.93297312957608	3.53341722668357	1.11307917442502	0.26567442701058	NA
ENSMUSG00000000301	32.5672305083679	-0.411257556937297	0.455092917722114	-0.903678218056596	0.366166052332198	0.513587385832877
ENSMUSG00000000303	43.3885628126452	1.8746174226985	0.710972928794858	2.63669310992767	0.00837185335108566	0.0238429088373103
ENSMUSG00000000305	2.75891933029454	-0.00344430537467773	1.83895199324918	-0.00187297188144216	0.99850558552672	NA
ENSMUSG00000000308	19.1699567415285	-1.09813566816867	0.651885578069859	-1.68455278826707	0.0920748866456723	0.17425697880841
ENSMUSG00000000317	5.44902583553474	-0.0496378720456422	0.926387022279531	-0.0535822187183709	0.957268023565223	0.976026990106146
ENSMUSG00000000318	1.16513689014125	4.37923557767755	2.66147209593299	1.64541855778593	0.0998835251237089	NA
ENSMUSG00000000320	8.45940959556364	1.22769268238894	0.809465840465556	1.51667015581886	0.129349982877611	0.228516711769479
ENSMUSG00000000325	147.433296014858	-0.205036301055619	0.493382578024825	-0.41557264116712	0.677722749893643	0.808495793907389
ENSMUSG00000000326	1234.56242745656	2.35886936105906	0.228169154860618	10.3382482286005	4.73106506124226e-25	3.80612196334477e-23
ENSMUSG00000000339	607.47746526989	-0.108199319465306	0.512246393047085	-0.211225146597294	0.832711589253722	0.930814922029367
ENSMUSG00000000340	555.4574833261	-0.182441634257807	0.353530466525612	-0.516056327622305	0.605815068851384	0.745759362433936
ENSMUSG00000000346	11975.4032515066	-0.16519063380008	0.272373829218779	-0.606484970578411	0.544192759543287	0.690592442137812
ENSMUSG00000000355	1112.7206599145	0.193130173926444	0.364659057913672	0.529618474394689	0.59637648275422	0.737928268266321
ENSMUSG00000000359	0.210378473298004	-14.6971455748602	285.307873609654	-0.0515132841898651	0.958916516653254	NA
ENSMUSG00000000365	10.5463656358856	2.26330274736518	1.0959597930358	2.06513301103487	0.0389104167379995	0.0861690665374135
ENSMUSG00000000374	4364.2131612912	-0.716695120278038	0.211862636483719	-3.38282923394619	0.000717432271115365	0.00285229977056601
ENSMUSG00000000378	5673.34939061011	-0.568188186038529	0.235426200363787	-2.41344499958182	0.0158025127079088	0.0408162297070457
ENSMUSG00000000381	2.44569924905762	1.42821581580645	2.0020727774299	0.71336858075653	0.475617709949898	NA
ENSMUSG00000000384	3039.02326949129	-0.819050341365289	0.141870093180623	-5.77324172419137	7.77607615499825e-09	9.32885527191425e-08
ENSMUSG00000000385	3.41942079915465	1.95506016012647	1.57536271635974	1.2410222355929	0.214597534805474	NA
ENSMUSG00000000386	171.507697286862	2.86673791648632	0.480502569551324	5.96612400879183	2.42955663949099e-09	3.20376866228196e-08
ENSMUSG00000000392	18.6126923772197	0.263139852348481	1.33070064717823	0.197745340326144	0.843244313645141	0.938427019177888
ENSMUSG00000000394	0.748746597027822	2.56849001863795	2.76594645880964	0.928611618803111	0.353090398313237	NA
ENSMUSG00000000399	1815.95635877022	0.699415497648768	0.202788436994411	3.44899101751075	0.000562685419514771	0.00230306492677412
ENSMUSG00000000402	1.48819652927319	2.47736518446115	1.75586022438495	1.41091252598363	0.158270408271706	NA
ENSMUSG00000000409	22959.0400383045	0.899686790925356	0.181560438589085	4.95530192544623	7.22180588327312e-07	6.00416488263267e-06
ENSMUSG00000000411	28.1765099930825	0.111559722412094	0.570126186226002	0.195675492737096	0.844864167541676	0.939626755106905
ENSMUSG00000000416	1.03751670979031	0.291216118111372	2.06303970123171	0.141158756148758	0.887744527583403	NA
ENSMUSG00000000420	3855.36545061267	0.248678206034591	0.262598297037633	0.946990931928825	0.343643399735153	0.489709748044728
ENSMUSG00000000435	0.298177319540097	2.65369308323781	4.40370873549851	0.602604132704387	0.546772070439953	NA
ENSMUSG00000000439	662.673391846537	-0.343509709083509	0.211430636775844	-1.62469221264132	0.104228157497062	0.192278305385513
