Gene stable ID,Human gene stable ID
ENSMUSG00000064372,
ENSMUSG00000064371,
ENSMUSG00000064370,ENSG00000198727
ENSMUSG00000064369,
ENSMUSG00000064368,ENSG00000198695
ENSMUSG00000064367,ENSG00000198786
ENSMUSG00000064366,
ENSMUSG00000064365,
ENSMUSG00000064364,
ENSMUSG00000064363,ENSG00000198886
ENSMUSG00000065947,ENSG00000212907
ENSMUSG00000064361,
ENSMUSG00000064360,ENSG00000198840
ENSMUSG00000064359,
ENSMUSG00000064358,ENSG00000198938
ENSMUSG00000064357,ENSG00000198899
ENSMUSG00000064356,ENSG00000228253
ENSMUSG00000064355,
ENSMUSG00000064354,ENSG00000198712
ENSMUSG00000064353,
ENSMUSG00000064352,
ENSMUSG00000064351,ENSG00000198804
ENSMUSG00000064350,
ENSMUSG00000064349,
ENSMUSG00000064348,
ENSMUSG00000064347,
ENSMUSG00000064346,
ENSMUSG00000064345,ENSG00000198763
ENSMUSG00000064344,
ENSMUSG00000064343,
ENSMUSG00000064342,
ENSMUSG00000064341,ENSG00000198888
ENSMUSG00000064340,
ENSMUSG00000064339,
ENSMUSG00000064338,
ENSMUSG00000064337,
ENSMUSG00000064336,
ENSMUSG00000031493,ENSG00000179168
ENSMUSG00000105024,
ENSMUSG00000105177,
ENSMUSG00000038770,ENSG00000185467
ENSMUSG00000081574,
ENSMUSG00000037239,ENSG00000188766
ENSMUSG00000081415,
ENSMUSG00000082901,
ENSMUSG00000041939,ENSG00000110921
ENSMUSG00000083636,
ENSMUSG00000097711,
ENSMUSG00000102166,
ENSMUSG00000090674,
ENSMUSG00000001755,ENSG00000068120
ENSMUSG00000061778,ENSG00000130150
ENSMUSG00000066538,
ENSMUSG00000025544,ENSG00000125304
ENSMUSG00000007041,ENSG00000213719
ENSMUSG00000020794,ENSG00000132388
ENSMUSG00000082561,
ENSMUSG00000010755,ENSG00000110619
ENSMUSG00000111339,
ENSMUSG00000111390,
ENSMUSG00000032231,ENSG00000182718
ENSMUSG00000031990,ENSG00000166086
ENSMUSG00000030990,ENSG00000148985
ENSMUSG00000105140,
ENSMUSG00000049555,ENSG00000181585
ENSMUSG00000108160,
ENSMUSG00000104209,
ENSMUSG00000104285,
ENSMUSG00000107957,
ENSMUSG00000104456,
ENSMUSG00000092255,
ENSMUSG00000108174,
ENSMUSG00000110836,
ENSMUSG00000108007,
ENSMUSG00000086827,
ENSMUSG00000044037,ENSG00000178038
ENSMUSG00000085837,
ENSMUSG00000045106,ENSG00000186714
ENSMUSG00000027646,ENSG00000197122
ENSMUSG00000107854,
ENSMUSG00000054934,ENSG00000135643
ENSMUSG00000096708,
ENSMUSG00000083394,
ENSMUSG00000107708,
ENSMUSG00000084130,
ENSMUSG00000107484,
ENSMUSG00000020164,
ENSMUSG00000086399,
ENSMUSG00000111096,
ENSMUSG00000047757,ENSG00000181544
ENSMUSG00000028581,ENSG00000162511
ENSMUSG00000041438,ENSG00000141076
ENSMUSG00000059246,ENSG00000171956
ENSMUSG00000027170,ENSG00000149100
ENSMUSG00000111286,
ENSMUSG00000097623,
ENSMUSG00000018589,ENSG00000101958
ENSMUSG00000109189,
ENSMUSG00000008822,ENSG00000119640
ENSMUSG00000109184,
ENSMUSG00000071629,
ENSMUSG00000011958,ENSG00000140299
ENSMUSG00000082934,
ENSMUSG00000058328,
ENSMUSG00000079489,
ENSMUSG00000032494,ENSG00000241186
ENSMUSG00000021938,ENSG00000121390
ENSMUSG00000085088,
ENSMUSG00000067768,
ENSMUSG00000017781,ENSG00000174238
ENSMUSG00000003119,ENSG00000167258
ENSMUSG00000103387,
ENSMUSG00000096393,ENSG00000283473
ENSMUSG00000031441,ENSG00000068650
ENSMUSG00000059412,ENSG00000137731
ENSMUSG00000021219,ENSG00000182732
ENSMUSG00000101555,
ENSMUSG00000085952,
ENSMUSG00000106234,
ENSMUSG00000032495,ENSG00000163827
ENSMUSG00000044712,ENSG00000139974
ENSMUSG00000039640,ENSG00000262814
ENSMUSG00000050675,ENSG00000185245
ENSMUSG00000055681,ENSG00000105669
ENSMUSG00000081485,
ENSMUSG00000102960,
ENSMUSG00000101964,
ENSMUSG00000072479,
ENSMUSG00000103303,
ENSMUSG00000081898,
ENSMUSG00000108887,
ENSMUSG00000113400,
ENSMUSG00000113083,
ENSMUSG00000079566,ENSG00000186787
ENSMUSG00000079566,ENSG00000147059
ENSMUSG00000066319,ENSG00000163825
ENSMUSG00000067771,
ENSMUSG00000041308,ENSG00000168807
ENSMUSG00000102060,
ENSMUSG00000085465,
