Ensembl ID	Entrez ID	Type
ENSMUSG00000000561	70465	Transcription_Cofactors	
ENSMUSG00000000568	11991	Transcription_Cofactors	
ENSMUSG00000000581	57316	Transcription_Cofactors	
ENSMUSG00000001016	67781	Transcription_Cofactors	
ENSMUSG00000001289	56612	Transcription_Cofactors	
ENSMUSG00000001424	56463	Transcription_Cofactors	
ENSMUSG00000001552	16480	Transcription_Cofactors	
ENSMUSG00000001632	78783	Transcription_Cofactors	
ENSMUSG00000001741	16170	Transcription_Cofactors	
ENSMUSG00000002068	12447	Transcription_Cofactors	
ENSMUSG00000002102	19182	Transcription_Cofactors	
ENSMUSG00000002307	13163	Transcription_Cofactors	
ENSMUSG00000002409	13549	Transcription_Cofactors	
ENSMUSG00000002428	20585	Transcription_Cofactors	
ENSMUSG00000002455	68879	Transcription_Cofactors	
ENSMUSG00000002524	67959	Transcription_Cofactors	
ENSMUSG00000002603	21803	Transcription_Cofactors	
ENSMUSG00000002658	98053	Transcription_Cofactors	
ENSMUSG00000002679	69792	Transcription_Cofactors	
ENSMUSG00000002881	17936	Transcription_Cofactors	
ENSMUSG00000002968	75613	Transcription_Cofactors	
ENSMUSG00000003575	382056	Transcription_Cofactors	
ENSMUSG00000003680	225895	Transcription_Cofactors	
ENSMUSG00000003814	12317	Transcription_Cofactors	
ENSMUSG00000003992	66970	Transcription_Cofactors	
ENSMUSG00000004044	19285	Transcription_Cofactors	
ENSMUSG00000004263	13498	Transcription_Cofactors	
ENSMUSG00000004897	15191	Transcription_Cofactors	
ENSMUSG00000005198	20020	Transcription_Cofactors	
ENSMUSG00000005534	16337	Transcription_Cofactors	
ENSMUSG00000005566	21849	Transcription_Cofactors	
ENSMUSG00000005886	17978	Transcription_Cofactors	
ENSMUSG00000006050	24068	Transcription_Cofactors	
ENSMUSG00000006362	12398	Transcription_Cofactors	
ENSMUSG00000006456	56275	Transcription_Cofactors	
ENSMUSG00000006527	54650	Transcription_Cofactors	
ENSMUSG00000006715	57441	Transcription_Cofactors	
ENSMUSG00000006932	12387	Transcription_Cofactors	
ENSMUSG00000007815	11848	Transcription_Cofactors	
ENSMUSG00000008305	21885	Transcription_Cofactors	
ENSMUSG00000008730	15257	Transcription_Cofactors	
ENSMUSG00000009079	14030	Transcription_Cofactors	
ENSMUSG00000009555	107951	Transcription_Cofactors	
ENSMUSG00000009569	239719	Transcription_Cofactors	
ENSMUSG00000009596	74469	Transcription_Cofactors	
ENSMUSG00000009640	66233	Transcription_Cofactors	
ENSMUSG00000009900	22416	Transcription_Cofactors	
ENSMUSG00000010376	18002	Transcription_Cofactors	
ENSMUSG00000011960	12455	Transcription_Cofactors	
ENSMUSG00000012114	94112	Transcription_Cofactors	
ENSMUSG00000013465	58202	Transcription_Cofactors	
ENSMUSG00000013833	216154	Transcription_Cofactors	
ENSMUSG00000014402	22088	Transcription_Cofactors	
ENSMUSG00000015092	59022	Transcription_Cofactors	
ENSMUSG00000015120	22196	Transcription_Cofactors	
ENSMUSG00000017146	12189	Transcription_Cofactors	
ENSMUSG00000017210	23989	Transcription_Cofactors	
ENSMUSG00000017376	18099	Transcription_Cofactors	
ENSMUSG00000017776	12928	Transcription_Cofactors	
ENSMUSG00000017897	14049	Transcription_Cofactors	
ENSMUSG00000018160	19014	Transcription_Cofactors	
ENSMUSG00000018326	54401	Transcription_Cofactors	
ENSMUSG00000018446	12261	Transcription_Cofactors	
ENSMUSG00000018697	56321	Transcription_Cofactors	
ENSMUSG00000018849	211652	Transcription_Cofactors	
ENSMUSG00000018909	109689	Transcription_Cofactors	
ENSMUSG00000019303	19183	Transcription_Cofactors	
ENSMUSG00000019897	52713	Transcription_Cofactors	
ENSMUSG00000019984	70208	Transcription_Cofactors	
ENSMUSG00000020038	12952	Transcription_Cofactors	
ENSMUSG00000020074	67500	Transcription_Cofactors	
ENSMUSG00000020098	13180	Transcription_Cofactors	
ENSMUSG00000020166	72068	Transcription_Cofactors	
ENSMUSG00000020230	15468	Transcription_Cofactors	
ENSMUSG00000020246	67933	Transcription_Cofactors	
ENSMUSG00000020362	104625	Transcription_Cofactors	
ENSMUSG00000020397	66213	Transcription_Cofactors	
