human,mouse
snoZ6,Gm22394
PVT1_3,Gm27894
PVT1_3,Gm27718
U6,Gm24892
U6,Gm23970
Six3os1_1,Gm27435
U1,Gm22042
U1,Gm24136
U1,Rnu1b6
U1,Gm24405
U1,Rnu1b1
U1,Rnu1b2
U1,Gm22614
U1,Gm25890
U1,Gm26110
U1,Gm24830
U1,Gm26232
Vault,Gm25403
RNU6-673P,Gm25047
RNU6-2,Gm24458
RNA5SP236,n-R5s9
KCNQ1OT1_3,Gm27803
SCARNA20,Gm25492
RNU2-64P,Gm24497
RNU2-64P,Gm22973
RNU1-7P,Gm22866
RNU6-572P,Gm24905
RNU6-572P,Gm24126
TUG1_2,Gm27937
RNA5SP37,n-R5s168
RNA5SP107,n-R5s74
RNU6-519P,Gm22279
RNU6-10P,Gm24319
RNU6-10P,Gm25453
RNU6-10P,Gm23966
SNORD92,Snord92
SNORD46,Gm26330
RNU5B-4P,Gm25313
SCARNA11,Gm26347
DLG2-AS1_1,Gm27660
JPX_1,Gm27875
Xist_exon1,Gm27520
uc_338,Gm27976
SNORA43,Gm22504
SNORA43,Gm23377
SNORA43,Snhg7
SCARNA21,Gm23386
SCARNA21,Gm24644
TCEAL9,Tceal9
RNU6-107P,Gm25323
SNORD30,Gm23389
RNU4-91P,Gm23214
RN7SL278P,Gm27853
SNORA16B,Snora16a
RNU6-657P,Gm23468
RN7SL160P,Gm27853
Y_RNA,Rny3
SNORD45A,Gm24494
SNORD116,Gm22373
SNORA41,Gm25409
Y_RNA,Gm24379
SNORD38,Gm23615
SNORD38,Gm22980
snoU2_19,Gm24339
RNA5SP126,Gm22562
RNU6-435P,Gm26449
RNU6-435P,Gm24522
RNU6-435P,Gm25522
RNY3P1,Rny3
RNU2-60P,Gm24037
RNU6-1140P,Gm22351
RNU1-29P,Gm22054
SNORD60,Snord60
SNORA44,Snora44
SNORA44,Gm22520
SNORA44,Gm22622
SNORA44,Gm22300
SNORA44,Gm22723
SNORA44,Gm25857
SNORA44,Gm22341
SNORA44,Gm22840
U6,Gm23337
SNORA84,Gm25989
SNORA84,Gm23513
SNORA84,Gm25394
SNORD113-3,Gm24564
RNU6-304P,Gm24905
RNU6-304P,Gm24126
SNORA9,Gm24438
SNORD113-1,Gm22962
SNORD113-1,AF357425
NEAT1_1,Gm28006
Y_RNA,Gm22508
Y_RNA,Gm24372
RN7SKP198,Gm22613
U2,Gm26316
Y_RNA,Gm24629
RNU6-299P,Gm24854
RNU6-1229P,Gm24905
RNU6-1229P,Gm24126
WT1-AS_8,Gm27715
RNU6-257P,Gm23856
RNU5E-5P,Gm23102
Metazoa_SRP,Gm27853
RNA5SP402,n-R5s160
AC007325.2,Prodh
RNU6-655P,Gm22894
SNORA74,Gm23946
SNORA24,Gm26458
RNU6-1074P,Gm26091
RN7SKP62,Gm24062
RN7SKP62,Gm22718
RNA5SP106,Gm24664
SNORA33,Snora33
RNA5SP467,Gm24476
RNA5SP467,Gm22527
RN7SKP13,Gm23228
SNORD105,Gm24067
RNU2-46P,Gm23345
RNU6-1145P,Gm24035
VPS53,Vps53
SCGB1C2,Scgb1c1
VPS13B,Vps13b
STRIP2,Strip2
ZFAND1,Zfand1
ABCB10,Abcb10
B3GAT1,B3gat1
PCNX3,Pcnx3
HNRNPL,Hnrnpl
AHCYL2,Ahcyl2
ECH1,Ech1
TMEM116,Tmem116
C11orf84,AI846148
IGSF9B,Igsf9b
SLC12A8,Slc12a8
NTM,Ntm
ZNF678,Zfp738
NIPAL2,Nipal2
ST14,St14
EPRS,Eprs
LGALS4,Lgals4
RAB1B,Rab1b
LYST,Lyst
KCNJ5,Kcnj5
FAM196B,Fam196b
POT1,Pot1b
POT1,Pot1a
MAPKAPK5,Mapkapk5
MAPKAPK5,Gm42878
TMEM229A,Tmem229a
LIMD2,Limd2
RPL22L1,Rpl22l1
AP4M1,Ap4m1
MYRF,Myrf
HOXB13,Hoxb13
MAD1L1,Mad1l1
EFCAB1,Efcab1
ATPAF2,Atpaf2
GABRA6,Gabra6
RCC1L,Rcc1l
RP11-722G7.1,Tmsb15b1
RP11-722G7.1,Tmsb15b2
RP11-722G7.1,Tmsb15l
SELPLG,Selplg
CEACAM3,Ceacam9
CEACAM3,Ceacam15
RPL8,Rpl8
GGPS1,Ggps1
SLC15A3,Slc15a3
OR2T35,Olfr721-ps1
ADAMDEC1,Adamdec1
OTUB2,Otub2
CLMP,Clmp
RIBC2,Ribc2
RPL5,Rpl5
PCDHGA7,Pcdhga7
ZKSCAN1,Zkscan1
CRTAM,Crtam
OR2L13,Olfr166
OR2L13,Olfr168
CEACAM5,Ceacam1
CEACAM5,Ceacam2
PRLR,Gm21973
PRLR,Prlr
RECQL4,Recql4
FJX1,Fjx1
GLRA4,Glra4
EIF5B,Eif5b
LIPT1,Lipt1
ABCC8,Abcc8
NRXN2,Nrxn2
SLAMF6,Slamf6
OBSCN,Obscn
PRKDC,Prkdc
THRSP,Thrsp
KCTD14,Kctd14
BCL9,Bcl9
CTD-2200P10.1,Igbp1
IGHV3-21,Ighv5-17
IGHV3-21,Ighv5-6
IGHV3-21,Ighv5-9-1
IGHV3-21,Ighv5-12
IGHV3-21,Ighv5-9
IGHV3-21,Ighv5-16
IGHV3-21,Ighv5-15
IGHV3-21,Ighv5-4
HEG1,Heg1
IGHV3-20,Ighv5-17
IGHV3-20,Ighv5-6
IGHV3-20,Ighv5-9-1
IGHV3-20,Ighv5-12
IGHV3-20,Ighv5-9
IGHV3-20,Ighv5-16
IGHV3-20,Ighv5-15
IGHV3-20,Ighv5-4
PIH1D1,Pih1d1
C8orf76,Gm29394
C8orf76,9130401M01Rik
BOD1,Bod1
ENG,Eng
TARBP1,Tarbp1
GPR37L1,Gpr37l1
SNRPD2,Snrpd2
SLC39A4,Slc39a4
FBXO22,Fbxo22
CXorf36,4930578C19Rik
SORBS2,Sorbs2
C11orf68,AI837181
CTC-441N14.4,1700034E13Rik
FLNA,Flna
RPL23,Rpl23
MFSD4A,Mfsd4a
MKLN1,Mkln1
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
SYNE1,Syne1
CPSF1,Cpsf1
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
CREBRF,Crebrf
MT-ND4,mt-Nd4
MFSD7,Mfsd7a
KIF13A,Kif13a
RP11-435I10.4,Cln3
MT-ND5,Gm4076
MT-ND5,mt-Nd5
POLR3G,Polr3g
CCDC63,Ccdc63
CHAD,Chad
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
ZNF84,Zfp605
CLSTN3,Clstn3
CYP21A2,Cyp21a1
GDPD4,Gdpd4
PIK3C2G,Pik3c2g
TNXB,Tnxb
F5,F5
BEX4,Bex6
BEX4,Bex4
SASH1,Sash1
PAPPA2,Pappa2
TREH,Treh
POMGNT1,Pomgnt1
MYBBP1A,Mybbp1a
PPP1CC,Ppp1cc
RAD1,Rad1
PSMB3,Gm4950
PSMB3,Psmb3
SPNS2,Spns2
IQGAP1,Iqgap1
FAM72B,Fam72a
OTOP3,Otop3
PNLDC1,Pnldc1
GPATCH2,Gpatch2
MAGI2,Magi2
IGHA1,Igha
CPNE3,Cpne3
TAC3,Tac2
LSM2,Lsm2
SPNS3,Spns3
EPHX4,Ephx4
FAM131B,Fam131b
TTC36,Ttc36
SAMD5,Samd5
BBS9,Bbs9
FBXO36,Fbxo36
LRP5,Lrp5
ATF5,Atf5
KLHL10,Klhl10
PCDHA10,Pcdha9
MPV17L2,Mpv17l2
TREML4,Treml4
PSD,Psd
FIBP,Fibp
RP11-644F5.10,Bloc1s1
TYW3,Tyw3
CHMP7,Chmp7
CTSW,Ctsw
NCOR1,Ncor1
DGAT1,Dgat1
MRPL18,Mrpl18
PIGL,Pigl
PNKP,Pnkp
FAM98A,Fam98a
EIF3CL,Eif3c
NEURL1B,Neurl1b
ZSWIM7,Zswim7
METTL1,Mettl1
AHCTF1,Ahctf1
PDE8A,Pde8a
ITGB5,Itgb5
ESRRA,Esrra
SLC5A8,Slc5a8
TRMT112,Trmt112
DPF2,Dpf2
HCFC2,Hcfc2
LRRC59,Lrrc59
GIMD1,Gimd1
CHRM1,Chrm1
PCGF2,Pcgf2
YWHAZ,Ywhaz
CHFR,Chfr
ARL6,Arl6
CAPN8,Capn8
ZSCAN25,Zscan25
MPZL2,Mpzl2
CBY3,Cby3
ZDHHC16,Zdhhc16
GNAS,Gnas
UBTD2,Ubtd2
NLRP2,Nlrp2
SERHL2,Serhl
UGT2B11,Ugt2b38
UGT2B11,Ugt2b34
UGT2B11,Ugt2b5
UGT2B11,Ugt2b35
UGT2B11,Ugt2b37
UGT2B11,Ugt2b36
UGT2B11,Ugt2b1
DUSP21,Dusp21
CSPG4,Cspg4
NT5E,Nt5e
ACER3,Acer3
PRAMEF15,AC133095.2
PRAMEF15,AC140325.2
PRAMEF15,Pramef25
PRAMEF15,Gm13040
PRAMEF15,Pramef12
PRAMEF15,C87499
PRAMEF15,A430089I19Rik
PRAMEF15,Gm12800
PRAMEF15,AC133095.1
PRAMEF15,Oog4
PRAMEF15,Gm12790
PRAMEF15,AC140325.3
PRAMEF15,AC140365.1
PRAMEF15,Pramel7
PRAMEF15,Gm13089
PRAMEF15,BC061212
